CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV),DOI,Journal
KARSEC,2.18121,,,,,,0.874018,10.1002/zaac.200500096,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
QAWGUT,2.09263,,,,,,1.699299,10.1002/ejic.201700031,Journal(European Journal of Inorganic Chemistry)
KATFET,2.26265,,,,,,2.069268,10.1021/acs.inorgchem.6b02571,Journal(Inorganic Chemistry)
PUHKOT,1.8144,,,,,,3.72166,10.1107/S1600536810004162,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
RUTPUS,5.90819,,,,,,3.58525,10.1016/j.inoche.2010.01.021,Journal(Inorganic Chemistry Communications)
REDMUL,6.64713,,,,,,2.411766,10.1021/acs.inorgchem.7b01574,Journal(Inorganic Chemistry)
LIFCEK,3.43122,,,,,,3.044608,,Journal(Wuji Huaxue Xuebao)
EMUHAW,1.78962,,,,,,2.311583,10.1080/10241220903296889,Journal(Main Group Chemistry)
YOSDOA,2.07878,,,,,,2.266368,10.1016/j.jssc.2008.11.019,Journal(Journal of Solid State Chemistry)
AMORUQ,2.27494,,,,,,5.501479000000001,10.1021/ic101786r,Journal(Inorganic Chemistry)
FABCOC,3.41119,,,,,,4.309256,10.1016/j.inoche.2010.04.026,Journal(Inorganic Chemistry Communications)
WEFXAH,1.60125,,,,,,2.0520940000000003,10.1107/S1600536806007835,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
RUMWOM,1.83654,,,,,,3.247484,10.1021/ic900320h,Journal(Inorganic Chemistry)
WEJPIK01,1.76229,,,,,,0.6556400000000001,10.1021/ic010229v,Journal(Inorganic Chemistry)
AHEPEK,2.5159,,,,,,2.561226,10.1039/C5DT01877C,Journal(Dalton Transactions)
BUHFER,2.28687,,,,,,1.279289,10.1007/s11243-015-9955-9,Journal(Transition Metal Chemistry)
FUJMUU,2.23103,,,,,,1.948453,10.1080/00958972.2013.876494,Journal(Journal of Coordination Chemistry)
SAXLUB,1.99191,,,,,,2.210717,10.1080/00958972.2015.1023194,Journal(Journal of Coordination Chemistry)
UVIHAK,3.19956,,,,,,2.710648,10.1039/C6RA18428F,Journal(RSC Advances)
ADOKEK,1.64815,,,,,,2.620628,10.1039/b701907f,Journal(CrystEngComm)
CUZLAM,1.73963,,,,,,2.630374,10.1021/acs.cgd.5b01222,Journal(Crystal Growth and Design)
YIMNUF,1.85252,,,,,,0.193577,,Journal(Radiokhimiya)
LOXZEF,2.01769,,,,,,2.5809100000000003,10.1039/C4CC09341K,Journal(Chemical Communications)
SIXZOP,2.3174,,,,,,3.922816,10.1016/j.molstruc.2007.07.008,Journal(Journal of Molecular Structure)
WECSEF,3.78006,,,,,,4.225592000000001,,Journal(CSD Communication)
XAHZAI,1.61815,,,,,,4.319278,10.1002/zaac.200400139,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
QQQBNA11,1.74182,,,,,,2.879894,10.1016/j.inoche.2008.11.013,Journal(Inorganic Chemistry Communications)
OXEWUL,1.62081,,,,,,3.323387,10.1007/s11172-015-1245-3,"Journal(Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya)"
PARCAP,1.67904,,,,,,3.356614,10.1016/j.ica.2017.01.003,Journal(Inorganica Chimica Acta)
XABREA,3.57136,,,,,,3.091669,10.1007/s10904-014-0134-9,Journal(Journal of Inorganic and Organometallic Polymers and Materials)
OSUMEW,2.11902,,,,,,2.622316,10.1021/acs.inorgchem.6b00280,Journal(Inorganic Chemistry)
AFOSIY,2.31323,,,,,,2.952756,10.1039/b718995h,Journal(CrystEngComm)
FEDMAC,2.03243,,,,,,1.978104,10.1071/C97101,Journal(Australian Journal of Chemistry)
BOQLEZ,1.58615,,,,,,2.000524,10.1039/b818531j,Journal(Dalton Transactions)
ETEVEG,2.10335,,,,,,1.047684,10.1039/C6CE01339B,Journal(CrystEngComm)
QUJPOB,2.3456,,,,,,2.564009,10.1039/b818753n,Journal(CrystEngComm)
HOYQUJ,4.5845,,,,,,0.2877080000000001,10.1039/C4TA07115H,Journal(Journal of Materials Chemistry A)
PEYTEU,3.16419,,,,,,1.065976,10.1016/j.inoche.2012.11.012,Journal(Inorganic Chemistry Communications)
XUDHAG,1.87503,,,,,,3.0978,10.1016/j.ica.2009.02.013,Journal(Inorganica Chimica Acta)
HOYQAP,2.70215,,,,,,4.287013,10.1021/ic5027174,Journal(Inorganic Chemistry)
HUTRIY,1.50915,,,,,,2.388564,10.1021/ic901291b,Journal(Inorganic Chemistry)
EWIPIK,2.68731,,,,,,2.828699,10.1021/ic101387c,Journal(Inorganic Chemistry)
TOYWIQ,3.0693,,,,,,0.2931979999999999,10.1021/jacs.9b07807,Journal(Journal of the American Chemical Society)
GOZTOE,2.37037,,,,,,0.744386,10.1016/S0277-5387(98)00305-2,Journal(Polyhedron)
EKEHAE,2.30786,,,,,,0.7170190000000001,10.1016/j.ica.2010.09.012,Journal(Inorganica Chimica Acta)
REWJAH,2.57277,,,,,,0.6099039999999999,10.1016/j.poly.2018.01.012,Journal(Polyhedron)
ROKZOI01,1.99562,,,,,,4.216405,10.1039/C4TC01645A,Journal(Journal of Materials Chemistry C)
ASUGOK,4.18471,,,,,,0.894258,10.1107/S1600536804006592,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
KITLIK,2.35593,,,,,,2.706789,10.1039/C3QI00013C,Journal(Inorganic Chemistry Frontiers)
UZEBOS01,4.69356,,,,,,0.404262,10.1021/acs.cgd.6b01226,Journal(Crystal Growth and Design)
VEWVOK,3.93742,,,,,,2.960388,,Journal(Jiegou Huaxue)
NIGPOL01,4.07348,,,,,,1.722834,10.1039/C8CE00450A,Journal(CrystEngComm)
EPEYII,3.9136,,,,,,2.435713,10.1039/c0nj00869a,Journal(New Journal of Chemistry)
MEDJUC,1.75111,,,,,,2.6760020000000004,10.1107/S0108270112030399,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
GEJBOO,1.78268,,,,,,2.585145,10.1021/ja310384y,Journal(Journal of the American Chemical Society)
ICIMIS,2.95483,,,,,,0.7690539999999999,,Journal(Wuji Huaxue Xuebao)
NOPQIU,1.84096,,,,,,0.3441769999999999,10.1039/C4DT01413H,Journal(Dalton Transactions)
GIZSIS,2.79938,,,,,,3.650024,10.1107/S1600536808020503,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
AVOGID,2.1942,,,,,,2.659561,10.1016/j.jssc.2016.09.021,Journal(Journal of Solid State Chemistry)
REZWID,4.95176,,,,,,2.908653,10.1002/ejic.200600867,Journal(European Journal of Inorganic Chemistry)
PELWIO,3.11236,,,,,,2.782248,10.1039/c2ce26559a,Journal(CrystEngComm)
AZIGOF,1.90301,,,,,,3.066619,10.1016/j.molstruc.2004.04.009,Journal(Journal of Molecular Structure)
DUJWIP,2.44644,,,,,,3.587769,10.1107/S1600536809045395,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
KURSIB,2.65822,,,,,,1.65372,10.1039/C5CE01521A,Journal(CrystEngComm)
ESUZEY,2.89422,,,,,,1.825171,10.1080/00958972.2011.595483,Journal(Journal of Coordination Chemistry)
HOYZIG,2.87332,,,,,,1.931362,10.1021/cg501142v,Journal(Crystal Growth and Design)
XELHUT,2.40643,,,,,,1.886182,10.1016/j.synthmet.2012.09.023,Journal(Synthetic Metals)
NIRCAT,1.99441,,,,,,3.904474,10.1021/cg060666q,Journal(Crystal Growth and Design)
DAXPAV,2.09257,,,,,,2.4611270000000003,10.1021/cg201625c,Journal(Crystal Growth and Design)
TETPUG,3.83004,,,,,,1.952777,10.1039/C7DT03758A,Journal(Dalton Transactions)
VIHNOR,1.86055,,,,,,2.223301,10.1524/ncrs.2013.0069,Journal(Zeitschrift fur Kristallographie - New Crystal Structures)
FOBCIK,4.71475,,,,,,0.3477709999999999,10.1039/C4CE00691G,Journal(CrystEngComm)
DABWEL,2.34401,,,,,,1.632423,10.1016/j.jssc.2016.02.041,Journal(Journal of Solid State Chemistry)
MABGEE,4.02019,,,,,,0.335288,10.1002/ejic.201501328,Journal(European Journal of Inorganic Chemistry)
UYUKOP,2.83551,,,,,,2.543372,10.1016/j.ica.2011.06.016,Journal(Inorganica Chimica Acta)
MUMNIR,1.55887,,,,,,2.646755,10.1039/b208836n,"Journal(Journal of the Chemical Society, Dalton Transactions [1972-2003])"
KOWTIB,1.75947,,,,,,1.397417,10.1007/s11243-014-9870-5,Journal(Transition Metal Chemistry)
KACYIZ,1.87075,,,,,,1.845615,10.1039/C5CE02174J,Journal(CrystEngComm)
NONYOF,1.51925,,,,,,3.132281,10.1016/j.inoche.2008.10.005,Journal(Inorganic Chemistry Communications)
POGLUT,1.62072,,,,,,3.148486,,"Journal(Zeitschrift fur Naturforschung,B:Chemical Sciences)"
REPGAW,1.84732,,,,,,2.7470480000000004,10.1039/c3dt32922d,Journal(Dalton Transactions)
DOCQOC,3.45242,,,,,,1.316724,10.1021/cg070349z,Journal(Crystal Growth and Design)
IPAMER,1.51448,,,,,,4.042012,10.1016/S0277-5387(03)00461-3,Journal(Polyhedron)
NEDKAL,4.34936,,,,,,1.1186020000000003,10.1002/chem.201702087,Journal(Chemistry-A European Journal)
KEPSEE,2.25998,,,,,,0.8731720000000001,10.1016/j.poly.2006.03.012,Journal(Polyhedron)
SAVWAO01,2.99365,,,,,,0.2531129999999999,10.1002/anie.200502309,"Journal(Angewandte Chemie, International Edition)"
KOJCUI,5.40121,,,,,,0.300828,10.1039/b808691e,Journal(Dalton Transactions)
ZILTAR,4.18727,,,,,,2.348918,10.1080/00958972.2013.812204,Journal(Journal of Coordination Chemistry)
QEZLAK,5.53314,,,,,,0.998169,10.1039/C3CE40558C,Journal(CrystEngComm)
HOXRAP,2.61504,,,,,,3.586429,10.1002/zaac.201400062,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
MIWBEZ,3.03226,,,,,,3.640836,10.1039/b107944c,"Journal(Journal of the Chemical Society, Dalton Transactions [1972-2003])"
OFERUN04,11.44315,,,,,,4.428732,10.1016/j.micromeso.2011.11.033,Journal(Microporous and Mesoporous Materials)
MUHQAH,2.42099,,,,,,0.6582549999999998,10.1016/S1293-2558(02)01326-2,Journal(Solid State Sciences)
FETJOE,1.83763,,,,,,2.570297,10.1107/S1600536805000711,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
SIWSOI,4.58873,,,,,,0.984713,10.1039/C3CE42048E,Journal(CrystEngComm)
MUPYEC,1.83873,,,,,,4.508014999999999,10.1021/cg9012894,Journal(Crystal Growth and Design)
SRFORA04,1.2437,,,,,,4.689965,10.1021/ic060543v,Journal(Inorganic Chemistry)
OFUCOH,1.93622,,,,,,1.6297129999999995,10.1016/S0020-1693(02)00728-4,Journal(Inorganica Chimica Acta)
RAVLUX,2.00895,,,,,,2.493303,10.1021/cg300029d,Journal(Crystal Growth and Design)
YAFHEU,2.10818,,,,,,2.161688,10.1107/S1600536811043467,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
CEWNIB,2.65107,,,,,,4.398921,10.1107/S0108270199016182,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
SOCCIX,1.67117,,,,,,0.495298,10.1021/cg700778b,Journal(Crystal Growth and Design)
TUGFUX,3.04341,,,,,,0.8425900000000001,10.1080/00958970903046593,Journal(Journal of Coordination Chemistry)
BOSJUQ,1.84743,,,,,,3.094081,10.1016/j.poly.2014.09.011,Journal(Polyhedron)
VUXCUP,3.44286,,,,,,4.161073,10.1021/jacs.0c03853,Journal(Journal of the American Chemical Society)
OVEGUS,1.79899,,,,,,2.940612,10.1016/j.inoche.2011.04.036,Journal(Inorganic Chemistry Communications)
DOPTAF,4.15315,,,,,,2.353026,10.1039/C4CE01601G,Journal(CrystEngComm)
UGAZOT,4.3536,,,,,,2.83186,10.1080/15533174.2013.790439,"Journal(Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry)"
XAQWES,1.89089,,,,,,3.4527,10.1016/j.solidstatesciences.2004.11.005,Journal(Solid State Sciences)
PUFYOG,4.28622,,,,,,2.977698,10.1002/chem.201405395,Journal(Chemistry-A European Journal)
TALKIB,1.60231,,,,,,2.145838,10.1021/ja042222t,Journal(Journal of the American Chemical Society)
AZUDUU,2.34446,,,,,,2.103515,10.1039/b404703f,Journal(Dalton Transactions)
LONVER,10.9373,,,,,,0.7575040000000001,10.1002/chem.201403123,Journal(Chemistry-A European Journal)
LOTJIP,1.83036,,,,,,2.968383,10.1039/C4CE01994F,Journal(CrystEngComm)
MCYTAG10,1.79257,,,,,,3.029547,10.1021/ic50192a007,Journal(Inorganic Chemistry)
ZOMNAS,4.0564,,,,,,2.764389,10.1039/C4CC03478C,Journal(Chemical Communications)
ROMNEO,1.73231,,,,,,3.164949,10.1039/C5CE00823A,Journal(CrystEngComm)
AYEMAU,2.01546,,,,,,1.6496939999999998,10.1039/C6DT03049A,Journal(Dalton Transactions)
BOLFUE,5.68447,,,,,,3.412754,10.1021/ic8007987,Journal(Inorganic Chemistry)
UKIWUI,4.4991,,,,,,0.483409,10.1016/j.poly.2016.01.051,Journal(Polyhedron)
CEPCOS,2.1019,,,,,,0.8015490000000001,10.1016/j.poly.2018.01.030,Journal(Polyhedron)
EJANIO,3.26777,,,,,,0.288473,10.1021/jacs.5b10491,Journal(Journal of the American Chemical Society)
BAVNAO,2.3156,,,,,,0.6116780000000002,10.1002/1521-3749(200201)628:1<310::AID-ZAAC310>3.0.CO;2-3,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
DAQLUF,4.49492,,,,,,1.752855,10.1039/C7CC03482B,Journal(Chemical Communications)
EQUHAZ,3.28724,,,,,,3.951135,10.1021/ic0348244,Journal(Inorganic Chemistry)
IVOQEQ,2.25776,,,,,,0.7957740000000001,10.1016/j.molstruc.2011.04.025,Journal(Journal of Molecular Structure)
MOPNAI,1.87658,,,,,,0.4660069999999998,,Journal(Wuji Huaxue Xuebao)
OVAKIH,2.06273,,,,,,2.24598,10.1007/s11243-016-0044-5,Journal(Transition Metal Chemistry)
SAHXEH,2.01639,,,,,,2.948289,10.1039/C7RA00165G,Journal(RSC Advances)
ONUTIB,2.24811,,,,,,0.5556859999999999,10.1002/zaac.200900337,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
BABTOP,1.29526,,,,,,4.495191999999999,10.1016/j.poly.2010.05.021,Journal(Polyhedron)
CIDZOG,2.65934,,,,,,0.994128,10.1016/j.jorganchem.2013.04.040,Journal(Journal of Organometallic Chemistry)
LOBNIA,1.84873,,,,,,4.1233450000000005,10.1107/S1600536808011100,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
DEYXOX,1.93928,,,,,,0.931225,10.1021/acs.inorgchem.8b01045,Journal(Inorganic Chemistry)
PEGTUS02,2.04723,,,,,,1.004134,10.1039/c0dt00676a,Journal(Dalton Transactions)
TOFKOQ,3.80527,,,,,,2.123845,10.1002/zaac.201400037,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
BETWAZ,2.13602,,,,,,1.709252,10.1021/ja0396044,Journal(Journal of the American Chemical Society)
NICLIU,5.30243,,,,,,3.027424,10.1039/a702644g,Journal(Journal of Materials Chemistry)
NOFREG,2.0068,,,,,,1.99679,10.1016/j.jssc.2008.03.002,Journal(Journal of Solid State Chemistry)
NENMAV,2.21102,,,,,,4.41177,10.1107/S1600536806029114,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
KINZEP,4.24329,,,,,,3.074818,10.1039/C8CE01261J,Journal(CrystEngComm)
RERVEQ,3.46783,,,,,,0.8181590000000001,10.1021/cg060229b,Journal(Crystal Growth and Design)
UMAQAC,4.79466,,,,,,3.012902,10.1016/j.molstruc.2016.04.093,Journal(Journal of Molecular Structure)
PIZDUA,3.05278,,,,,,1.4807389999999998,10.1021/acs.inorgchem.8b02096,Journal(Inorganic Chemistry)
PONWEU,1.7087,,,,,,2.627307,10.1016/S0020-1693(97)05537-0,Journal(Inorganica Chimica Acta)
XACZEG,1.89031,,,,,,3.127055,10.1021/om990214t,Journal(Organometallics)
OKOLEH,1.9547,,,,,,2.715111,,Journal(Wuji Huaxue Xuebao)
GIWTUB,1.91365,,,,,,0.079132,10.1039/a806891g,"Journal(Journal of the Chemical Society, Dalton Transactions [1972-2003])"
SAQSAF03,1.69306,,,,,,1.5212530000000002,10.1039/C4SC03295K,Journal(Chemical Science)
ZEFWIS,3.80659,,,,,,1.062911,10.1039/c2ce25426c,Journal(CrystEngComm)
QOFRUB,1.95655,,,,,,2.383904,10.1515/znb-2017-0052,"Journal(Zeitschrift fur Naturforschung,B:Chemical Sciences)"
APOMID,3.07024,,,,,,0.4714380000000002,10.1039/C6CE00637J,Journal(CrystEngComm)
FEJYEZ,2.86243,,,,,,0.1258160000000001,10.1021/cg034223n,Journal(Crystal Growth and Design)
ABIFAT01,1.95651,,,,,,0.9753149999999996,10.1016/j.ica.2004.12.011,Journal(Inorganica Chimica Acta)
CELQIU,2.05232,,,,,,2.993908,10.1016/j.ica.2006.02.044,Journal(Inorganica Chimica Acta)
SISGIM,2.84483,,,,,,2.461883,10.1039/C3DT53139B,Journal(Dalton Transactions)
KESMAX,1.89512,,,,,,3.496114,10.1016/j.molstruc.2006.03.098,Journal(Journal of Molecular Structure)
EBONEQ,1.92602,,,,,,2.646218,10.1039/c1ce05683b,Journal(CrystEngComm)
QUDDAX,9.51426,,,,,,2.741194,10.1021/jacs.9b13793,Journal(Journal of the American Chemical Society)
HOSSAK,1.59282,,,,,,3.207606,10.1107/S1600536809007879,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
VORSEC,7.1919,,,,,,2.874853,10.1039/C5RA00621J,Journal(RSC Advances)
DOQLIG01,1.51505,,,,,,3.152904,10.1002/jhet.2810,Journal(Journal of Heterocyclic Chemistry)
LABHII,2.53597,,,,,,2.955673,10.1039/C5DT04759E,Journal(Dalton Transactions)
NETGEZ,4.57072,,,,,,2.055469,10.1039/b611733n,Journal(CrystEngComm)
CAWXAZ,2.29407,,,,,,1.2740440000000002,10.1002/(SICI)1521-3749(199911)625:11<1860::AID-ZAAC1860>3.3.CO;2-B,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
EVUCED,3.59575,,,,,,0.2194399999999999,10.1002/anie.200352604,"Journal(Angewandte Chemie, International Edition)"
SUYGOJ,3.93635,,,,,,2.459759,10.1107/S1600536810033258,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
CECROS,2.46188,,,,,,2.588008,10.1039/b509294a,Journal(Dalton Transactions)
HEBSAK,2.36185,,,,,,0.0887279999999997,10.1016/j.solidstatesciences.2012.06.004,Journal(Solid State Sciences)
DUPPOU,1.45321,,,,,,2.608323,10.1107/S1600536809051721,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
AYALUH,2.02476,,,,,,0.2432589999999999,10.1021/ic0301268,Journal(Inorganic Chemistry)
DINTID,1.65685,,,,,,0.7097179999999998,,"Journal(Zeitschrift fur Naturforschung,B:Chemical Sciences)"
EREGEN,2.37213,,,,,,1.5983940000000003,10.1039/b311988b,Journal(Dalton Transactions)
PUMCIL,1.63587,,,,,,1.168283,10.1039/C5DT02100F,Journal(Dalton Transactions)
QIBVED,2.3368,,,,,,1.515095,10.1080/15533170600732569,"Journal(Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry)"
TTRZCU,2.57234,,,,,,0.8283849999999999,10.1107/S0567740879010967,"Journal(Acta Crystallographica,Section B:Struct.Crystallogr.Cryst.Chem. [1968-1982])"
DAQRUK,2.56538,,,,,,2.869088,10.1021/ic202020z,Journal(Inorganic Chemistry)
IXAJIB,2.77963,,,,,,2.766286,10.1021/ic102167t,Journal(Inorganic Chemistry)
YIDDUM,5.21997,,,,,,0.515505,10.1007/s11243-013-9715-7,Journal(Transition Metal Chemistry)
ETUNOX,1.83632,,,,,,2.778071,10.1107/S1600536811023610,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
OXETUH,1.55439,,,,,,0.791981,10.1016/j.inoche.2010.08.008,Journal(Inorganic Chemistry Communications)
QANLIA,1.67768,,,,,,0.7080759999999999,10.1021/ic000543+,Journal(Inorganic Chemistry)
KIPFAT,2.64326,,,,,,3.101425,10.1039/C8CE01261J,Journal(CrystEngComm)
LAMZUV,2.39994,,,,,,2.206686,10.1002/anie.200463081,"Journal(Angewandte Chemie, International Edition)"
FAPFUZ,2.69091,,,,,,2.061804,10.1039/c1dt11377a,Journal(Dalton Transactions)
ZAWBUX,2.31336,,,,,,3.562861,10.1126/science.aam7232,Journal(Science)
CUXSUK,3.05898,,,,,,1.924191,10.1039/b918647f,Journal(CrystEngComm)
VAJYEK01,1.55474,,,,,,3.261107,,Journal(CSD Communication)
FIDTIX,1.74785,,,,,,3.946889,10.1039/C3DT51509E,Journal(Dalton Transactions)
EMUHIF,2.45908,,,,,,3.18178,10.1039/C6CE00719H,Journal(CrystEngComm)
PIHJIA,2.24449,,,,,,1.810261,10.1039/b702569f,Journal(CrystEngComm)
QUQHAM01,3.9078,,,,,,0.395394,10.1039/C4CE02204A,Journal(CrystEngComm)
ETUBIF01,1.84773,,,,,,3.340179,10.1007/s10870-011-0257-6,Journal(Journal of Chemical Crystallography)
UJEROR,2.12632,,,,,,0.8112429999999999,10.1039/c003986a,Journal(CrystEngComm)
CAXWIK,1.98919,,,,,,2.978774,10.1071/CH16648,Journal(Australian Journal of Chemistry)
MULMOX,2.02264,,,,,,3.132689,10.1016/j.matchemphys.2015.05.079,Journal(Materials Chemistry and Physics)
TUMKET,2.41754,,,,,,1.056494,10.1016/j.molstruc.2015.04.046,Journal(Journal of Molecular Structure)
VEQYEY,4.30307,,,,,,0.928495,10.1039/C7CE02007D,Journal(CrystEngComm)
FIKDAG,4.67081,,,,,,0.947302,10.1016/j.ica.2013.02.008,Journal(Inorganica Chimica Acta)
VIPKAI,1.88,,,,,,3.738646,10.1107/S0108270113025614,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
NEKXAD,1.57222,,,,,,1.358314,10.1021/ic060074x,Journal(Inorganic Chemistry)
NODCOZ,2.02884,,,,,,2.9173690000000003,10.1016/j.molstruc.2007.10.030,Journal(Journal of Molecular Structure)
CELHEI,1.62199,,,,,,3.041761,10.1080/00958972.2012.733378,Journal(Journal of Coordination Chemistry)
RIVTAS,2.81001,,,,,,2.884402,10.1016/j.ica.2007.09.013,Journal(Inorganica Chimica Acta)
OMARAV,2.08379,,,,,,3.434454,10.1002/chem.200305102,Journal(Chemistry-A European Journal)
BOPZEM,2.00059,,,,,,0.043668,,Journal(Acta Chimica Slovenica)
FARLIU,4.45551,,,,,,2.673861,10.1021/cg049909+,Journal(Crystal Growth and Design)
VECFUG,4.40704,,,,,,1.683233,10.1002/ejic.201200354,Journal(European Journal of Inorganic Chemistry)
RINMUZ,3.70553,,,,,,0.920525,10.1039/C8NJ04853C,Journal(New Journal of Chemistry)
XESBUT,1.78386,,,,,,4.416803,10.1021/ic061349b,Journal(Inorganic Chemistry)
DAWPOI,3.24024,,,,,,3.128977,10.1021/cg201180u,Journal(Crystal Growth and Design)
TOHRUF01,1.71796,,,,,,1.505099,10.1039/C7RA07997D,Journal(RSC Advances)
GAJBEB,2.31884,,,,,,0.7141570000000002,10.1021/acs.cgd.5b01721,Journal(Crystal Growth and Design)
YEHTOV,2.3766,,,,,,3.383238,10.1080/00958970500410390,Journal(Journal of Coordination Chemistry)
ALIMIT,3.31577,,,,,,3.096924,10.1016/j.ica.2016.04.016,Journal(Inorganica Chimica Acta)
JEXPAE,1.34545,,,,,,0.61537,10.1021/ic061590q,Journal(Inorganic Chemistry)
UXAPUG02,2.41002,,,,,,2.134008,10.1016/j.poly.2016.09.053,Journal(Polyhedron)
AMANEJ,2.24001,,,,,,0.5818709999999999,10.1016/j.ica.2016.05.009,Journal(Inorganica Chimica Acta)
RIHSIK,2.49023,,,,,,0.748077,10.1016/S0277-5387(01)00627-1,Journal(Polyhedron)
CIKFOT,1.76142,,,,,,3.270037,10.1021/cg400877g,Journal(Crystal Growth and Design)
CIXZIS,4.62519,,,,,,0.964561,10.1039/dt9840001687,"Journal(Journal of the Chemical Society, Dalton Transactions [1972-2003])"
ZEKNUB,2.80861,,,,,,1.767576,10.1021/acs.cgd.7b01270,Journal(Crystal Growth and Design)
LUHTEO,1.95137,,,,,,4.340106,10.1002/asia.200900181,Journal(Chemistry-An Asian Journal)
NUMHUY,4.22984,,,,,,3.080951,,Journal(Zhurnal Neorganicheskoi Khimii)
VIWNEV,1.90945,,,,,,3.415524,10.1107/S1600536808001335,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
XUNJEW,7.82147,,,,,,3.284502,10.1002/anie.200906188,"Journal(Angewandte Chemie, International Edition)"
IPAYON,1.81156,,,,,,2.582396,10.1039/b314522k,Journal(CrystEngComm)
CUGSUT,1.55392,,,,,,4.657104,10.1021/ja905690t,Journal(Journal of the American Chemical Society)
TABFIO,2.12985,,,,,,0.84436,10.1080/10610278.2015.1123261,Journal(Supramolecular Chemistry)
MOWSUO,1.92683,,,,,,1.633998,,Journal(Zhurnal Neorganicheskoi Khimii)
YAVQIW,2.9427,,,,,,3.530233,10.1002/ejic.200500271,Journal(European Journal of Inorganic Chemistry)
CIHNEO,1.60531,,,,,,0.7381850000000001,10.1016/j.ica.2013.01.001,Journal(Inorganica Chimica Acta)
DEDNUV,1.74928,,,,,,2.520423,10.1039/dt9850000111,"Journal(Journal of the Chemical Society, Dalton Transactions [1972-2003])"
DENTIA,1.57509,,,,,,2.1561470000000003,10.1039/b606482e,Journal(CrystEngComm)
GAVFEO01,1.56521,,,,,,4.911827,10.1107/S0108270188000290,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
FIQNUR,4.55698,,,,,,2.629807,10.1039/C7CE01988B,Journal(CrystEngComm)
KOCLEW,3.24861,,,,,,2.23064,10.1039/C8CC09757G,Journal(Chemical Communications)
OKECUE,3.24436,,,,,,0.0521469999999999,10.1002/zaac.201600038,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
MESFOF,1.55519,,,,,,0.4222089999999996,10.1039/b107334f,Journal(Chemical Communications)
CILXED01,4.85907,,,,,,0.261715,10.1021/acs.chemmater.8b03621,Journal(Chemistry of Materials)
AVUFED01,1.78078,,,,,,3.356288,10.1016/j.molstruc.2011.04.010,Journal(Journal of Molecular Structure)
OCULIK,1.78417,,,,,,2.251298,10.1021/acs.cgd.6b01673,Journal(Crystal Growth and Design)
JECRUF,1.88497,,,,,,2.5734570000000003,10.1246/cl.2006.54,Journal(Chemistry Letters)
LICCUW01,2.63322,,,,,,1.85678,10.1021/ic061988m,Journal(Inorganic Chemistry)
POKXIX,3.21589,,,,,,3.096882,10.1021/ic801140u,Journal(Inorganic Chemistry)
QITYOJ,4.21037,,,,,,1.179504,10.1039/C3CE42545B,Journal(CrystEngComm)
KAWQOP,2.96447,,,,,,0.4494899999999999,10.1016/j.molstruc.2005.07.005,Journal(Journal of Molecular Structure)
FUSPIS10,2.28193,,,,,,1.120972,10.1016/0022-4596(89)90248-X,Journal(Journal of Solid State Chemistry)
QOGDOG,3.21123,,,,,,1.393443,10.1039/b804966a,Journal(CrystEngComm)
RAFQOF,2.31828,,,,,,3.097805,10.1002/aoc.700,Journal(Applied Organometallic Chemistry)
HAYZEP,15.83677,,,,,,1.357554,10.1038/nature23674,Journal(Nature (London))
HUPZAV,1.76995,,,,,,1.436625,10.1016/j.inoche.2015.06.030,Journal(Inorganic Chemistry Communications)
